"AccountId","Region","ProfileName","SecurityGroupId","SecurityGroupName","VpcId","Protocol","FromPort","ToPort","SourceType","Source","ENI","ENICount","ENIStatus","ENIAttached","ENIAttachmentType","ENIAttachedResource","MatchesFound","IsUnused","QueryTimestamp","FlowLogConfig"
"207567772484","eu-west-1","sso-ipf-aws-adfr-prod-nonprivFujitsuCSA","sg-04fcbf544d44fe126","bastion-vpc-euw1-prod-adfr-01","vpc-027b4f84e93151777","-1",,,"IPv4_CIDR","192.168.0.189/32","eni-0623381cb6ed5ee43","4","available","False","Unattached","None","0","True","8/13/2025 2:27:33 PM","VPC-CWL:StackSet-AWSControlTowerBP-VPC-ACCOUNT-FACTORY-V1-d0d3cf0d-fa1a-4141-b09d-a0c68db385b5-VPCFlowLogsLogGroup-fabb2OlInRka"
"207567772484","eu-west-1","sso-ipf-aws-adfr-prod-nonprivFujitsuCSA","sg-04fcbf544d44fe126","bastion-vpc-euw1-prod-adfr-01","vpc-027b4f84e93151777","-1",,,"IPv4_CIDR","192.168.0.189/32","eni-02aacb384c7720b23","4","available","False","Unattached","None","0","True","8/13/2025 2:27:41 PM","VPC-CWL:StackSet-AWSControlTowerBP-VPC-ACCOUNT-FACTORY-V1-d0d3cf0d-fa1a-4141-b09d-a0c68db385b5-VPCFlowLogsLogGroup-fabb2OlInRka"
"207567772484","eu-west-1","sso-ipf-aws-adfr-prod-nonprivFujitsuCSA","sg-04fcbf544d44fe126","bastion-vpc-euw1-prod-adfr-01","vpc-027b4f84e93151777","-1",,,"IPv4_CIDR","192.168.0.189/32","eni-020c3ea1c4d88ba04","4","in-use","True","Attached","EC2:i-0c366158de416c034","0","True","8/13/2025 2:27:48 PM","VPC-CWL:StackSet-AWSControlTowerBP-VPC-ACCOUNT-FACTORY-V1-d0d3cf0d-fa1a-4141-b09d-a0c68db385b5-VPCFlowLogsLogGroup-fabb2OlInRka"
"207567772484","eu-west-1","sso-ipf-aws-adfr-prod-nonprivFujitsuCSA","sg-04fcbf544d44fe126","bastion-vpc-euw1-prod-adfr-01","vpc-027b4f84e93151777","-1",,,"IPv4_CIDR","192.168.0.189/32","eni-040db423dfc5c4924","4","available","False","Unattached","None","0","True","8/13/2025 2:27:56 PM","VPC-CWL:StackSet-AWSControlTowerBP-VPC-ACCOUNT-FACTORY-V1-d0d3cf0d-fa1a-4141-b09d-a0c68db385b5-VPCFlowLogsLogGroup-fabb2OlInRka"
"207567772484","eu-west-1","sso-ipf-aws-adfr-prod-nonprivFujitsuCSA","sg-04fcbf544d44fe126","bastion-vpc-euw1-prod-adfr-01","vpc-027b4f84e93151777","tcp","3398","3398","IPv4_CIDR","10.200.192.20/32","eni-0623381cb6ed5ee43","4","available","False","Unattached","None","0","True","8/13/2025 2:28:04 PM","VPC-CWL:StackSet-AWSControlTowerBP-VPC-ACCOUNT-FACTORY-V1-d0d3cf0d-fa1a-4141-b09d-a0c68db385b5-VPCFlowLogsLogGroup-fabb2OlInRka"
"207567772484","eu-west-1","sso-ipf-aws-adfr-prod-nonprivFujitsuCSA","sg-04fcbf544d44fe126","bastion-vpc-euw1-prod-adfr-01","vpc-027b4f84e93151777","tcp","3398","3398","IPv4_CIDR","10.200.208.20/32","eni-0623381cb6ed5ee43","4","available","False","Unattached","None","0","True","8/13/2025 2:28:11 PM","VPC-CWL:StackSet-AWSControlTowerBP-VPC-ACCOUNT-FACTORY-V1-d0d3cf0d-fa1a-4141-b09d-a0c68db385b5-VPCFlowLogsLogGroup-fabb2OlInRka"
"207567772484","eu-west-1","sso-ipf-aws-adfr-prod-nonprivFujitsuCSA","sg-04fcbf544d44fe126","bastion-vpc-euw1-prod-adfr-01","vpc-027b4f84e93151777","tcp","3398","3398","IPv4_CIDR","10.200.192.20/32","eni-02aacb384c7720b23","4","available","False","Unattached","None","0","True","8/13/2025 2:28:19 PM","VPC-CWL:StackSet-AWSControlTowerBP-VPC-ACCOUNT-FACTORY-V1-d0d3cf0d-fa1a-4141-b09d-a0c68db385b5-VPCFlowLogsLogGroup-fabb2OlInRka"
"207567772484","eu-west-1","sso-ipf-aws-adfr-prod-nonprivFujitsuCSA","sg-04fcbf544d44fe126","bastion-vpc-euw1-prod-adfr-01","vpc-027b4f84e93151777","tcp","3398","3398","IPv4_CIDR","10.200.208.20/32","eni-02aacb384c7720b23","4","available","False","Unattached","None","0","True","8/13/2025 2:28:26 PM","VPC-CWL:StackSet-AWSControlTowerBP-VPC-ACCOUNT-FACTORY-V1-d0d3cf0d-fa1a-4141-b09d-a0c68db385b5-VPCFlowLogsLogGroup-fabb2OlInRka"
"207567772484","eu-west-1","sso-ipf-aws-adfr-prod-nonprivFujitsuCSA","sg-04fcbf544d44fe126","bastion-vpc-euw1-prod-adfr-01","vpc-027b4f84e93151777","tcp","3398","3398","IPv4_CIDR","10.200.192.20/32","eni-020c3ea1c4d88ba04","4","in-use","True","Attached","EC2:i-0c366158de416c034","566","False","8/13/2025 2:28:34 PM","VPC-CWL:StackSet-AWSControlTowerBP-VPC-ACCOUNT-FACTORY-V1-d0d3cf0d-fa1a-4141-b09d-a0c68db385b5-VPCFlowLogsLogGroup-fabb2OlInRka"
"207567772484","eu-west-1","sso-ipf-aws-adfr-prod-nonprivFujitsuCSA","sg-04fcbf544d44fe126","bastion-vpc-euw1-prod-adfr-01","vpc-027b4f84e93151777","tcp","3398","3398","IPv4_CIDR","10.200.208.20/32","eni-020c3ea1c4d88ba04","4","in-use","True","Attached","EC2:i-0c366158de416c034","0","True","8/13/2025 2:28:42 PM","VPC-CWL:StackSet-AWSControlTowerBP-VPC-ACCOUNT-FACTORY-V1-d0d3cf0d-fa1a-4141-b09d-a0c68db385b5-VPCFlowLogsLogGroup-fabb2OlInRka"
